ticker,p1_date,p1_price,l1_date,l1_price,p2_date,p2_price,l2_date,l2_price,neckline_slope,y_shape,p1_l1_drop_pct,l1_p2_rise_pct,p2_l2_drop_pct,trough_similarity,p1_ge_p2,neckline_slope_per_bar,bars_p1_p2,bars_l1_l2,bars_span_total,rsi14_l2,atr14_l2,close_sma20_ratio_l2,close_sma50_ratio_l2,vol_z20_l2,nearline_gap_pct_l2,range_pct_window
MMM,2025-07-18,161.79243188626825,2025-07-24,148.6133270263672,2025-08-13,159.46319580078125,2025-09-03,152.0,-0.1294020047492776,1,-0.08145686857074558,0.07300737418043984,-0.04680199567870874,0.9777192567524157,1.0,-0.1294020047492776,18,28,32,46.56094580336585,3.1655901039302092,0.9830678605958979,0.9946065941698946,1.0421068652682086,0.03718136667296958,0.15949698816461955
MMM,2025-07-18,161.79243188626825,2025-07-24,148.6133270263672,2025-08-13,159.46319580078125,2025-08-18,151.65925155333275,-0.1294020047492776,1,-0.08145686857074558,0.07300737418043984,-0.04893884264804296,0.9799159992168731,1.0,-0.1294020047492776,18,17,21,51.074387387116,3.565461975001368,1.0070624594598163,1.006499131845674,-1.1122152742847826,0.045466459439775245,0.15949698816461955
AOS,2025-07-25,73.80402175010293,2025-07-31,69.93000030517578,2025-08-13,73.63999938964844,2025-09-03,70.0,-0.012617104650345823,1,-0.05249065502208555,0.053053039729474526,-0.04942964991604972,0.999000004359654,1.0,-0.012617104650345823,13,23,27,48.084932461101175,1.301744103752543,0.9860430284164978,1.0111266367871021,1.4809532040834625,0.037764641537529176,0.2429259495181423
ADBE,2025-07-01,392.1000061035156,2025-07-17,360.6000061035156,2025-07-23,373.489990234375,2025-08-21,349.9100036621094,-1.240667724609375,1,-0.08033664756353996,0.035745934311379665,-0.06313418615976442,0.9703549576803459,1.0,-1.240667724609375,15,25,36,46.66473957478911,8.165015601436737,1.004827529310836,0.9652758305643109,-1.4766588528624232,-0.016959581196895522,0.22712395320058687
AFL,2025-08-22,108.66999816894531,2025-09-03,105.08999633789062,2025-09-04,108.55000305175781,2025-09-10,105.86000061035156,-0.0149993896484375,1,-0.03294379213560847,0.03292422527775527,-0.024781228611514897,0.9927262018890859,1.0,-0.0149993896484375,8,5,12,56.7267272927623,1.7389308074245189,1.0048215394613276,1.0360326893089296,-0.7486789345730547,0.011750462527137427,0.1371658237554273
A,2025-07-25,120.5,2025-08-04,113.16999816894531,2025-08-13,120.29000091552734,2025-08-21,117.1500015258789,-0.016153775728665866,1,-0.06082989071414678,0.0629142251637485,-0.0261035777350561,0.9660264335886125,1.0,-0.016153775728665866,13,13,19,49.25357512031758,2.5408059142603032,1.0005081647644145,0.9955124148615786,-1.375472509213195,0.02597590009082685,0.18284424379232506
APD,2025-07-23,299.5400085449219,2025-08-01,281.75,2025-08-13,294.2099914550781,2025-08-18,288.1000061035156,-0.35533447265625,1,-0.05939109313423791,0.044223572156444096,-0.020767429825697854,0.9779590212808463,1.0,-0.35533447265625,15,11,18,48.73386836219155,5.252338865658033,0.9888975139922767,1.0002411940405393,-1.0446225790226644,0.017366464684806966,0.13691404868317014
AKAM,2025-07-09,80.88999938964844,2025-07-15,76.80000305175781,2025-07-28,80.81999969482422,2025-08-08,70.52999877929688,-0.005384591909555288,1,-0.050562447382265965,0.052343704209975236,-0.1273199821131195,0.9183593226131073,1.0,-0.005384591909555288,13,18,22,26.15073219508021,2.103330047673585,0.9124250289936139,0.9008056289042096,3.2413828181029336,0.1452082768410256,0.1672398735038055
ALB,2025-08-11,84.31254317370497,2025-08-12,77.55918884277344,2025-08-18,82.64160919189453,2025-08-20,76.63420741554984,-0.3341867963620871,1,-0.08009904667467956,0.06552957070533684,-0.07269221685162802,0.9880738640898024,1.0,-0.3341867963620871,5,6,7,55.142254445947344,4.217797369151776,1.0317161868801992,1.0972647431671982,-0.7341248343668326,0.05501787508479711,0.573703048769118
ARE,2025-07-23,82.94000244140625,2025-08-01,76.01000213623047,2025-08-06,78.4000015258789,2025-08-11,71.86000061035156,-0.45400009155273435,1,-0.08355437787781048,0.03144322224021139,-0.08341837740103318,0.9454019022596397,1.0,-0.45400009155273435,10,6,13,37.89187667573304,2.3022901475921587,0.9227726854079331,0.9441775820566265,0.3437712293171187,0.07205678537279671,0.2335437831277327
MO,2025-06-23,60.4900016784668,2025-07-01,58.13999938964844,2025-07-07,60.25,2025-07-10,57.720001220703125,-0.02666685316297743,1,-0.03884943335445322,0.03629172054527469,-0.0419916809841805,0.99277608920959,1.0,-0.02666685316297743,9,6,12,48.47900582157463,0.9979743000270426,0.9898169065952758,0.9898169065952758,0.8240315635018314,0.027668663100940016,0.20647199679474193
AMZN,2025-07-31,235.77000427246094,2025-08-04,211.64999389648438,2025-08-15,232.5800018310547,2025-08-21,221.9499969482422,-0.2900002219460227,1,-0.10230313415146294,0.09888971669333921,-0.04570472439214313,0.9535931372228866,1.0,-0.2900002219460227,11,13,15,46.55134607998357,4.957283803569985,0.9859142318606358,0.9965693847073749,-0.5724584162804345,0.04266728598891025,0.1521393512920546
AMCR,2025-07-09,9.899999618530273,2025-07-21,9.40999984741211,2025-07-23,9.8100004196167,2025-08-01,9.300000190734863,-0.008999919891357422,1,-0.04949492828272534,0.042508031741849174,-0.051987788691834014,0.9883103444781142,1.0,-0.008999919891357422,10,9,17,44.10835054533222,0.17983327771709498,0.9675405952775163,0.9830237265190003,0.3024230054295229,0.04806460005104729,0.22549021899448132
AXP,2025-07-10,325.239990234375,2025-07-21,302.9700012207031,2025-07-29,312.9100036621094,2025-08-01,294.0299987792969,-0.9484605055588943,1,-0.0684724808828817,0.032808536823305166,-0.06033685296683502,0.9704921199941055,1.0,-0.9484605055588943,13,9,16,38.36755058265674,6.446110163093625,0.9461388180079968,0.9489207288473335,0.4859248450600725,0.0536739515459967,0.15301378815821853
AIG,2025-06-24,86.0,2025-06-25,83.9000015258789,2025-07-01,85.87000274658203,2025-09-03,80.62000274658203,-0.02599945068359375,0,-0.02441858690838481,0.02348034785309842,-0.06113892898657175,0.960905855546556,1.0,-0.02599945068359375,5,48,49,51.56723443594089,1.1986804705214011,1.0078244199690085,1.0023462454821468,-0.27969865972700086,0.0416281132414555,0.14895028921446332
AIG,2025-06-24,86.0,2025-06-25,83.9000015258789,2025-07-01,85.87000274658203,2025-08-07,76.5999984741211,-0.02599945068359375,0,-0.02441858690838481,0.02348034785309842,-0.10795393007984876,0.9129916219428658,1.0,-0.02599945068359375,5,30,31,32.13056572696169,1.5322357217592022,0.9627409057721323,0.9372881266897068,1.398685663490593,0.11219345595145068,0.14895028921446332
AMT,2025-07-22,232.35000610351562,2025-07-31,207.22000122070312,2025-08-04,212.97999572753906,2025-08-18,203.1300048828125,-2.152223375108507,0,-0.10815581761429643,0.027796518062468106,-0.046248431976341355,0.9802625407113356,1.0,-2.152223375108507,9,12,19,34.52766254995103,4.43687429882683,0.9519190437113322,0.9345970908660219,1.1888355837674682,-0.05746193386394265,0.23977571896379088
AWK,2025-06-23,143.17088317871094,2025-06-27,136.9266096268643,2025-07-14,142.53451538085938,2025-07-16,139.92941426838235,-0.04545484270368304,1,-0.043614130284104796,0.04095555837741886,-0.01827698438877116,0.9785405759238103,1.0,-0.04545484270368304,14,12,16,52.41428156001539,2.542633352012963,1.0045684844760971,1.0047738421619787,-0.5776768337965512,0.01085640998716651,0.0875027605536528
AWK,2025-06-23,143.17088317871094,2025-06-27,136.9266096268643,2025-07-01,141.74900817871094,2025-07-08,137.82147973987466,-0.23697916666666666,1,-0.043614130284104796,0.03521885603527363,-0.027707625536854696,0.9935070345007225,1.0,-0.23697916666666666,6,6,10,52.10206953188073,2.5761291388175116,1.0028398170150663,1.0028398170150663,0.45955890812354167,0.004160086558529513,0.0875027605536528
AMP,2025-07-30,522.5575460380176,2025-08-07,498.45001220703125,2025-08-28,519.1599731445312,2025-09-05,489.2799987792969,-0.16178918540411014,0,-0.04613373974554071,0.041548721898512296,-0.057554464733196906,0.981602942716098,1.0,-0.16178918540411014,21,20,26,35.48695590971245,10.563289524238936,0.9599974846715511,0.9421587821346551,2.7638776270264347,0.059415934660609564,0.12653814571457428
AME,2025-07-03,184.19000244140625,2025-07-15,176.44000244140625,2025-07-24,181.35000610351562,2025-07-30,176.75999450683594,-0.20285688127790177,1,-0.04207611649533149,0.027828177251017282,-0.0253102367918294,0.9981896804968654,1.0,-0.20285688127790177,14,11,18,43.42638034385322,2.5949035887953418,0.9826632693550729,0.9846309436673018,2.42835487229187,0.021376918923936405,0.10262001895823485
AME,2025-08-05,187.80999755859375,2025-08-08,182.0800018310547,2025-08-13,186.91000366210938,2025-08-15,181.36000061035156,-0.14999898274739584,1,-0.030509535179304787,0.026526811195532983,-0.029693451088851033,0.9960456875359042,1.0,-0.14999898274739584,6,5,8,48.88117014451342,3.405121478257098,0.9965136302497228,1.0034019365635958,0.18506423621828574,0.028947976778752688,0.10262001895823485
