ticker,p1_date,p1_price,low1_date,low1_price,p2_date,p2_price,low2_date,low2_price,y_shape,y_breakout,y_reachtarget,p1_trading_date,p2_trading_date,low1_trading_date,low2_trading_date,p1_idx,p2_idx,low1_idx,low2_idx,p1p2_trading_days,neckline_slope_per_day,drop1_norm,rise1_norm,drop2_norm,trough_sim,spread_t,p1_to_l1_t,l1_to_p2_t,p2_to_l2_t,rsi_p2,rsi_l2,vol_ratio_p2,vol_ratio_l2,px_vs_ma20_p2,px_vs_ma20_l2,px_vs_ma50_l2,atr_pct_l2,dist_to_neckline_l2,mom10_to_l2,mp_min_dist
ADSK,2025-02-28,279.42,2025-03-13,251.85,2025-03-26,271.71,2025-04-07,237.63,1,1,1,2025-02-28,2025-03-26,2025-03-13,2025-04-07,151,169,160,177,18,-0.42833333333333534,-0.11602070445650803,0.0835753061482134,-0.14341623532382264,0.05646217986896962,0.18888888888888888,0.1,0.1,0.08888888888888889,49.79872936750762,30.801634397737843,0.49961139304164953,2.0162146862573107,0.0286197322630668,-0.0654334740579875,-0.12660156265885558,0.03596350019989055,0.15306371876329578,-0.09498869605970783,2.6197016531641815
AEO,2024-07-31,22.48,2024-08-05,18.79,2024-08-27,22.7,2024-09-09,18.84,0,0,0,2024-07-31,2024-08-27,2024-08-05,2024-09-09,149,168,152,176,19,0.011578947368420993,-0.19638105375199588,0.20808940926024477,-0.2054284193720064,0.0026609898882384627,0.26666666666666666,0.03333333333333333,0.17777777777777778,0.08888888888888889,61.52533490514724,37.529880198015675,1.2883665056878748,0.9773481376014255,0.06961961498080615,-0.09318704054426885,-0.08287658350736182,0.04676692752106213,0.27145218367549434,-0.14298615507191625,2.819210865404108
AMC,2025-05-30,3.56,2025-07-01,2.82,2025-07-21,3.56,2025-08-06,2.78,0,0,0,2025-05-30,2025-07-21,2025-07-01,2025-08-06,150,184,171,196,34,0.0,-0.26618705035971235,0.26618705035971235,-0.28057553956834536,0.014184397163120581,0.2777777777777778,0.23333333333333334,0.14444444444444443,0.13333333333333333,60.502037724078036,35.95869332946447,1.0300576453169132,0.7342400554571339,0.11164972197173095,-0.11997467887502133,-0.12319435825693947,0.04342240685028287,0.28057555274732393,-0.19884727709838412,3.0301887561264955
AMD,2025-02-20,114.17,2025-03-04,96.0,2025-03-25,114.81,2025-04-08,78.21,1,1,1,2025-02-20,2025-03-25,2025-03-04,2025-04-08,151,174,159,184,23,0.027826086956521764,-0.2323232323232325,0.24050632911392422,-0.4679708477176834,0.18531250000000007,0.2777777777777778,0.08888888888888889,0.16666666666666666,0.1111111111111111,63.1653760077009,23.009848316398404,0.8209593005774031,1.8245807991280873,0.11805231949939143,-0.22808542468559778,-0.25906488147535756,0.07821432476917169,0.5048150603818121,-0.31878755554752225,3.098978517565178
AMGN,2025-02-06,309.49,2025-02-11,290.56,2025-02-25,315.63,2025-02-27,305.3,0,0,0,2025-02-06,2025-02-25,2025-02-11,2025-02-27,151,163,154,165,12,0.5116666666666655,-0.0651500550660793,0.0862816629955947,-0.03555203744493385,0.05072962555066082,0.12222222222222222,0.03333333333333333,0.1,0.022222222222222223,75.49355571612003,62.95621689476736,1.3401810258952678,0.9846279726955217,0.07612437659676496,0.03304064191658962,0.1017365418781544,0.022014870418316585,0.06249816223572679,0.04484079350873538,2.28582646735216
ASML,2024-07-17,978.58,2025-08-05,775.0,2024-08-21,845.05,2024-09-09,764.08,0,0,0,2024-07-17,2024-08-21,2025-08-05,2024-09-09,149,174,412,186,25,-5.341200000000003,-0.266438069312114,0.09167888179248251,-0.1059705789969636,0.014090322580645109,-2.511111111111111,2.922222222222222,-2.6444444444444444,0.13333333333333333,54.96762280267792,29.007699956189214,0.40836694280652,1.8515494579995189,0.07246556929382053,-0.14182364700654881,-0.1858717298074115,0.039096034711138775,0.0684111602853271,-0.17353351314841758,4.1318330962125716
AVGO,2024-07-11,176.47,2024-08-05,129.61,2024-08-22,170.84,2024-09-06,137.0,1,1,0,2024-07-11,2024-08-22,2024-08-05,2024-09-06,150,180,167,190,30,-0.1876666666666665,-0.3615461769925159,0.3181081706658435,-0.2610909652033022,0.05701720546254136,0.25555555555555554,0.18888888888888888,0.14444444444444443,0.1111111111111111,54.780883231163166,34.70832326169028,1.147715265611976,3.076593259883058,0.0578444622299954,-0.13466124149156478,-0.13583401596060007,0.056657999966865234,0.2510165737459252,-0.15609206906130235,3.3229849943991874
B,2024-08-26,20.7,2024-09-06,19.0,2024-09-26,21.01,2024-10-09,19.52,0,0,0,2024-08-26,2024-09-26,2024-09-06,2024-10-09,151,173,159,182,22,0.014090909090909194,-0.08947368421052637,0.10578947368421066,-0.07842105263157917,0.027368421052631556,0.25555555555555554,0.08888888888888889,0.15555555555555556,0.1,64.00709865244139,45.87166601476333,1.560433718875747,0.8108358936284543,0.04561179371262414,-0.02961503532953136,0.0037340205223097556,0.02496002696111553,0.11352791898617849,-0.050241618308653146,2.2086472102363515
BMO,2024-07-29,87.5,2024-08-05,77.56,2024-08-26,88.77,2024-08-28,81.88,0,0,0,2024-07-29,2024-08-26,2024-08-05,2024-08-28,148,168,153,170,20,0.0634999999999998,-0.128158844765343,0.14453326456936555,-0.08883445074780805,0.05569881382155741,0.18888888888888888,0.05555555555555555,0.16666666666666666,0.022222222222222223,67.997722790177,41.21692025096408,2.1360471737972335,1.4634270621905547,0.06014286054674867,-0.021177157048425488,-0.026007377041213697,0.01811013202287065,0.14686370449580782,-0.017518612699571334,2.737866264098963
BRK.B,2025-06-25,494.5,2024-07-15,470.13,2025-07-28,486.9,2025-08-04,459.11,1,1,1,2025-06-25,2025-07-28,2024-07-15,2025-08-04,385,407,148,412,22,-0.3454545454545465,-0.05308096098974091,0.036527193918668655,-0.060530156171723526,0.023440325016484763,2.933333333333333,-2.6333333333333333,2.8777777777777778,0.05555555555555555,49.42504910580432,29.037611533798,0.8178109163244179,2.334384858044164,0.006068392609571038,-0.03481306638874926,-0.054083594638524746,0.015072646532181943,0.06586859261079765,-0.03225062328458839,2.519534857306576
C,2024-04-01,63.6,2024-04-16,57.02,2024-05-21,64.74,2024-06-11,59.14,0,0,0,2024-04-01,2024-05-21,2024-04-16,2024-06-11,149,185,160,199,36,0.03166666666666648,-0.11539810592774469,0.1353910908453173,-0.09821115398105928,0.037179936864258106,0.43333333333333335,0.12222222222222222,0.2777777777777778,0.15555555555555556,65.18036754069735,34.22457910137601,1.0171038809036865,1.6363249715855528,0.033411535711378226,-0.05532437834206949,-0.03949205492059449,0.020991355274761626,0.15164139646846106,-0.05300238848568739,2.0025317720754
CAT,2024-11-06,416.88,2024-11-19,378.03,2024-11-27,408.4,2025-01-10,351.0,0,0,0,2024-11-06,2024-11-27,2024-11-19,2025-01-10,153,168,162,196,15,-0.5653333333333346,-0.11068376068376073,0.0865242165242166,-0.16353276353276347,0.07150226172525984,0.37777777777777777,0.1,0.06666666666666667,0.3111111111111111,59.26109311115037,27.615864948310943,0.6161633401002461,1.4546150558610147,0.030533146384088994,-0.04473168572774777,-0.08284695766741279,0.020063089616565947,0.1359557449952315,-0.04507992138120065,4.088420275692062
COF,2025-03-04,192.06,2025-03-10,163.87,2025-03-26,184.84,2025-04-07,144.94,1,1,1,2025-03-04,2025-03-26,2025-03-10,2025-04-07,149,165,153,173,16,-0.45124999999999993,-0.19449427349247972,0.14468055747205733,-0.2752863253760176,0.1155183987307012,0.2222222222222222,0.044444444444444446,0.13333333333333333,0.08888888888888889,48.73093510015214,34.683211599261455,0.6393856367046715,1.5569868841222263,0.012947036249195909,-0.09906921553045178,-0.17179885811791484,0.05931058803926043,0.27288985097407154,-0.14480815211058518,2.845986628595104
CRWD,2025-02-27,401.64,2025-03-10,308.86,2025-03-25,384.95,2025-04-07,300.06,1,1,1,2025-02-27,2025-03-25,2025-03-10,2025-04-07,151,169,158,178,18,-0.9272222222222221,-0.3092048257015263,0.2535826168099713,-0.28291008464973677,0.028491873340672186,0.2222222222222222,0.07777777777777778,0.12222222222222222,0.1,54.06500006593214,37.96666292037107,0.7600071745933727,1.4222980829365321,0.06229078429937429,-0.09010007588671731,-0.15451086397141656,0.06343458843955616,0.26377516778523497,-0.12956211732232836,3.2048930411927734
D,2023-08-29,49.56,2023-09-06,45.95,2023-09-18,48.63,2023-10-06,40.52,0,0,0,2023-08-29,2023-09-18,2023-09-06,2023-10-06,151,164,156,178,13,-0.07153846153846152,-0.08909180651530124,0.06614017769002967,-0.20014807502467913,0.11817192600652882,0.24444444444444444,0.05555555555555555,0.08888888888888889,0.15555555555555556,53.77657353480299,27.84003859938322,0.827223471620378,1.1761464892841558,0.019924672483347505,-0.09037367428375487,-0.12100451186458339,0.035080520463431034,0.34069342168763933,-0.12670156134815735,3.0299913066279394
