ticker,p1_date,p1_price,low1_date,low1_price,p2_date,p2_price,low2_date,low2_price,y_shape,y_breakout,y_reachtarget,p1_trading_date,p2_trading_date,p1_idx,p2_idx,p1p2_trading_days,neckline_slope_per_day,neckline_slope_pct_per_day
ADSK,2025-02-28,279.42,2025-03-13,251.85,2025-03-26,271.71,2025-04-07,237.63,1,1,1,2025-02-28,2025-03-26,10,28,18,-0.42833333333333534,-0.001532937274831207
AEO,2024-07-31,22.48,2024-08-05,18.79,2024-08-27,22.7,2024-09-09,18.84,0,0,0,2024-07-31,2024-08-27,11,30,19,0.011578947368420993,0.0005150777299119655
AMC,2025-05-30,3.56,2025-07-01,2.82,2025-07-21,3.56,2025-08-06,2.78,0,0,0,2025-05-30,2025-07-21,10,44,34,0.0,0.0
AMD,2025-02-20,114.17,2025-03-04,96.0,2025-03-25,114.81,2025-04-08,78.21,1,1,1,2025-02-20,2025-03-25,10,33,23,0.027826086956521764,0.00024372503246493794
AMGN,2025-02-06,309.49,2025-02-11,290.56,2025-02-25,315.63,2025-02-27,305.3,0,0,0,2025-02-06,2025-02-25,11,23,12,0.5116666666666655,0.0016532575096664393
ASML,2024-07-17,978.58,2025-08-05,775.0,2024-08-21,845.05,2024-09-09,764.08,0,0,0,2024-07-17,2024-08-21,10,35,25,-5.341200000000003,-0.005458112775654524
AVGO,2024-07-11,176.47,2024-08-05,129.61,2024-08-22,170.84,2024-09-06,137.0,1,1,0,2024-07-11,2024-08-22,10,40,30,-0.1876666666666665,-0.001063447989271075
B,2024-08-26,20.7,2024-09-06,19.0,2024-09-26,21.01,2024-10-09,19.52,0,0,0,2024-08-26,2024-09-26,10,32,22,0.014090909090909194,0.0006807202459376423
BMO,2024-07-29,87.5,2024-08-05,77.56,2024-08-26,88.77,2024-08-28,81.88,0,0,0,2024-07-29,2024-08-26,10,30,20,0.0634999999999998,0.000725714285714285
BRK.B,2025-06-25,494.5,2024-07-15,470.13,2025-07-28,486.9,2025-08-04,459.11,1,1,1,2025-06-25,2025-07-28,10,32,22,-0.3454545454545465,-0.0006985936207372039
C,2024-04-01,63.6,2024-04-16,57.02,2024-05-21,64.74,2024-06-11,59.14,0,0,0,2024-04-01,2024-05-21,9,45,36,0.03166666666666648,0.0004979035639412981
CAT,2024-11-06,416.88,2024-11-19,378.03,2024-11-27,408.4,2025-01-10,351.0,0,0,0,2024-11-06,2024-11-27,11,26,15,-0.5653333333333346,-0.0013561056738949696
