feature,importance
trough_sim,0.3005183133925801
px_vs_ma20_p2,0.15368182463696586
neckline_slope_per_day,0.09692646660419252
drop1_norm,0.07863406044688256
drop2_norm,0.07806773125905626
l1_to_p2_t,0.06444589849945556
p2_to_l2_t,0.05085746418844099
px_vs_ma20_l2,0.049435750562808974
px_vs_ma50_l2,0.04106607182810533
vol_ratio_l2,0.03399799579576273
p1_to_l1_t,0.02622383051432444
rsi_l2,0.011089195541576913
rise1_norm,0.01055052849639447
rsi_p2,0.002807145801656943
spread_t,0.0012152318531578952
vol_ratio_p2,0.0004824905786383213
